Type;Wanted station;#;CS;Info1;cx;Rx frequency MHz;KTBF dBm;Polar;Interferer;#;CS;Info1;Tx frequency MHz;Unwanted Pr dBm;Polar;TD dB;Cumulated TD dB;IRF dB;IRF from;XPD dB;Tx pow dBm;Tx BW kHz;Tx addloss dB;Tx losses dB;Tx antgain dB;Tx main OAA;Tx ant att dB;Rx BW kHz;Rx losses dB;Rx ant gain dB;Rx main OAA;Rx ant att dB;Distance m;Prop loss dB;Tx az;Tx tilt;Rx az;Rx tilt;Wind turbine unwanted power (dBm);Tx->Rx az;Tx->Rx tilt
Microwave (wanted);DENVER;4;1008807;FAA 100727;1;8085.000000;-99;H;Schriever;777;AF 229345;;8092.500000;-210.32;H;0.00;0.00;0.0;IRF MASK;0.0;24.90;3850.00;0.00;0.00;58.00;112.35;68.00;10000.00;4.10;40.50;10.33;30.25;163936.92;231.36;224.0;35.0;171.9;0.1;-999.0;161.9;-0.7
Microwave (wanted);DENVER;4;1008807;FAA 100727;1;8085.000000;-99;H;Schriever;778;AF 229359;;8092.500000;-209.32;H;0.00;0.00;0.0;IRF MASK;0.0;25.90;3850.00;0.00;0.00;58.00;112.35;68.00;10000.00;4.10;40.50;10.33;30.25;163936.92;231.36;224.0;35.0;171.9;0.1;-999.0;161.9;-0.7
Microwave (wanted);DENVER;4;1008807;FAA 100727;1;8085.000000;-99;H;Schriever;779;AF 229360;;8092.500000;-207.92;H;0.00;0.00;0.0;IRF MASK;0.0;27.30;2700.00;0.00;0.00;58.00;112.35;68.00;10000.00;4.10;40.50;10.33;30.25;163936.92;231.36;224.0;35.0;171.9;0.1;-999.0;161.9;-0.7
Microwave (wanted);DENVER;4;1008807;FAA 100727;1;8085.000000;-99;H;Schriever;780;AF 229361;;8092.500000;-207.92;H;0.00;0.00;0.0;IRF MASK;0.0;27.30;2700.00;0.00;0.00;58.00;112.35;68.00;10000.00;4.10;40.50;10.33;30.25;163936.92;231.36;224.0;35.0;171.9;0.1;-999.0;161.9;-0.7
Microwave (wanted);DENVER;4;1008807;FAA 100727;1;8085.000000;-99;H;Schriever;781;AF 229362;;8092.500000;-208.92;H;0.00;0.00;0.0;IRF MASK;0.0;26.30;2700.00;0.00;0.00;58.00;112.35;68.00;10000.00;4.10;40.50;10.33;30.25;163936.92;231.36;224.0;35.0;171.9;0.1;-999.0;161.9;-0.7
Microwave (wanted);DENVER;4;1008807;FAA 100727;1;8085.000000;-99;H;Schriever);782;AF 229363;;8092.500000;-208.92;H;0.00;0.00;0.0;IRF MASK;0.0;26.30;2700.00;0.00;0.00;58.00;112.35;68.00;10000.00;4.10;40.50;10.33;30.25;163936.92;231.36;224.0;35.0;171.9;0.1;-999.0;161.9;-0.7
Microwave (wanted);DENVER;4;1008807;FAA 100727;1;8085.000000;-99;H;FE Warren;783;AF 998675;;8002.700000;-149.65;H;0.00;0.00;0.0;IRF MASK;0.0;87.00;40000.00;0.00;0.00;51.00;43.41;59.94;10000.00;4.10;40.50;160.38;46.90;108163.83;217.21;221.0;33.0;171.9;0.1;-999.0;11.6;-0.5
Microwave (wanted);DENVER;4;1008807;FAA 100727;1;8085.000000;-99;H;FE Warren;783;AF 998675;;8092.500000;-155.83;H;0.00;0.00;6.0;IRF MASK;0.0;87.00;40000.00;0.00;0.00;51.00;43.41;59.94;10000.00;4.10;40.50;160.38;46.90;108163.83;217.36;221.0;33.0;171.9;0.1;-999.0;11.6;-0.5
Microwave (wanted);DENVER;4;1008807;FAA 100727;1;8085.000000;-99;H;FE Warren;784;AF 998676;;8092.500000;-156.89;H;0.00;0.00;6.0;IRF MASK;0.0;87.00;40000.00;0.00;0.00;51.00;75.54;61.00;10000.00;4.10;40.50;160.38;46.90;108163.83;217.36;117.0;19.0;171.9;0.1;-999.0;11.6;-0.5
Microwave (wanted);BRIGHTON;6;1008882;FAA 101052;1;8115.000000;-99;V;Schriever;758;AF 156310;;8092.500000;-195.41;H;0.00;0.00;0.0;IRF MASK;0.0;58.70;18700.00;0.00;0.00;49.00;126.06;59.00;10000.00;3.55;43.00;153.63;50.65;137366.83;232.91;116.0;20.8;320.2;-0.3;-999.0;166.8;-0.6
